pool_id,token_in,token_out,commission,slippage,liquidity
pool_1,USDC,USDT,0.01,0.05,12000000
pool_2,USDT,ETH,0.30,0.20,9800000
pool_3,USDC,ETH,0.30,0.35,5000000
pool_4,USDC,DAI,0.05,0.05,8000000
pool_5,DAI,ETH,0.40,0.50,4000000
pool_6,ETH,WBTC,0.30,0.15,15000000
pool_7,USDT,WBTC,0.30,0.25,11000000
pool_8,USDC,LINK,0.30,0.40,3500000
pool_9,ETH,LINK,0.30,0.20,6000000
pool_10,DAI,USDT,0.05,0.05,9000000
pool_11,WBTC,ETH,0.30,0.15,14000000
pool_12,ETH,USDC,0.30,0.30,6000000
pool_13,LINK,ETH,0.30,0.20,5500000
pool_14,WBTC,USDT,0.30,0.25,10000000
pool_15,USDT,USDC,0.01,0.05,11500000
pool_16,DAI,USDC,0.05,0.05,8500000
